	Code INSEE	Code Postal	Région	Département	Commune	Code département	Population totale
0	63402	63550	AUVERGNE-RHÔNE-ALPES	PUY-DE-DOME	SAINT-VICTOR-MONTVIANEIX	63	257
1	26027	26150	AUVERGNE-RHÔNE-ALPES	DROME	BARSAC	26	141
2	26027	26150	NOUVELLE-AQUITAINE	DROME	BARSAC	26	2089
3	33030	33720	AUVERGNE-RHÔNE-ALPES	GIRONDE	BARSAC	33	141
4	33030	33720	NOUVELLE-AQUITAINE	GIRONDE	BARSAC	33	2089
5	42205	42940	AUVERGNE-RHÔNE-ALPES	LOIRE	SAINT-BONNET-LE-COURREAU	42	703
6	69063	69660	AUVERGNE-RHÔNE-ALPES	RHONE	COLLONGES-AU-MONT-D'OR	69	4264
7	61502	61360	NORMANDIE	ORNE	VIDAI	61	97
8	68308	68290	GRAND EST	HAUT-RHIN	SICKERT	68	339
9	54013	54450	GRAND EST	MEURTHE-ET-MOSELLE	AMENONCOURT	54	82
10	58187	58440	BOURGOGNE-FRANCHE-COMTÉ	NIEVRE	MYENNES	58	533
11	28052	28130	CENTRE-VAL DE LOIRE	EURE-ET-LOIR	BOUGLAINVAL	28	775
12	65131	65350	OCCITANIE	HAUTES-PYRENEES	CASTELVIEILH	65	247
13	72062	72400	PAYS DE LA LOIRE	SARTHE	LA CHAPELLE-DU-BOIS	72	887
14	17109	17220	NOUVELLE-AQUITAINE	CHARENTE-MARITIME	CLAVETTE	17	1443
15	22391	22350	BRETAGNE	COTES-D'ARMOR	YVIGNAC-LA-TOUR	22	1163
16	15266	15130	AUVERGNE-RHÔNE-ALPES	CANTAL	YOLET	15	557
17	27205	27380	NORMANDIE	EURE	DOUVILLE-SUR-ANDELLE	27	452
18	11057	11420	OCCITANIE	AUDE	CAHUZAC	11	30
19	11057	11420	NOUVELLE-AQUITAINE	AUDE	CAHUZAC	11	312
20	11057	11420	OCCITANIE	AUDE	CAHUZAC	11	366
21	81049	81540	OCCITANIE	TARN	CAHUZAC	81	30
22	81049	81540	NOUVELLE-AQUITAINE	TARN	CAHUZAC	81	312
23	81049	81540	OCCITANIE	TARN	CAHUZAC	81	366
24	47044	47330	OCCITANIE	LOT-ET-GARONNE	CAHUZAC	47	30
25	47044	47330	NOUVELLE-AQUITAINE	LOT-ET-GARONNE	CAHUZAC	47	312
26	47044	47330	OCCITANIE	LOT-ET-GARONNE	CAHUZAC	47	366
27	64233	64330	NOUVELLE-AQUITAINE	PYRENEES-ATLANTIQUES	GARLIN	64	1394
28	52065	52110	GRAND EST	HAUTE-MARNE	BOUZANCOURT	52	66
29	21467	21310	BOURGOGNE-FRANCHE-COMTÉ	COTE-D'OR	OISILLY	21	132
30	08154	08260	GRAND EST	ARDENNES	ESTREBAY	08	80
31	14668	14330	NORMANDIE	CALVADOS	SAONNET	14	314
32	39237	39250	BOURGOGNE-FRANCHE-COMTÉ	JURA	FRAROZ	39	54
33	60494	60128	HAUTS-DE-FRANCE	OISE	PLAILLY	60	1913
34	38553	38090	AUVERGNE-RHÔNE-ALPES	ISERE	VILLEFONTAINE	38	19078
35	18224	18140	CENTRE-VAL DE LOIRE	CHER	SAINT-MARTIN-DES-CHAMPS	18	309
36	18224	18140	BRETAGNE	CHER	SAINT-MARTIN-DES-CHAMPS	18	4772
37	18224	18140	ÎLE-DE-FRANCE	CHER	SAINT-MARTIN-DES-CHAMPS	18	662
38	18224	18140	ÎLE-DE-FRANCE	CHER	SAINT-MARTIN-DES-CHAMPS	18	312
39	18224	18140	BOURGOGNE-FRANCHE-COMTÉ	CHER	SAINT-MARTIN-DES-CHAMPS	18	280
40	50516	50300	CENTRE-VAL DE LOIRE	MANCHE	SAINT-MARTIN-DES-CHAMPS	50	309
41	50516	50300	BRETAGNE	MANCHE	SAINT-MARTIN-DES-CHAMPS	50	4772
42	50516	50300	ÎLE-DE-FRANCE	MANCHE	SAINT-MARTIN-DES-CHAMPS	50	662
43	50516	50300	ÎLE-DE-FRANCE	MANCHE	SAINT-MARTIN-DES-CHAMPS	50	312
44	50516	50300	BOURGOGNE-FRANCHE-COMTÉ	MANCHE	SAINT-MARTIN-DES-CHAMPS	50	280
