ordre;rd;plod;absd;plof;absf;localisation;plo;abs;annee;tv;pl;pl0;tv_s1;tv_s2;cl_trafic;generation
6;D1;1;675;3;287;de la ligne LGV à RD14 (LGV, INDICE 3);3.0;200;2015;5886;167;0.0283724091064;2779;3107;T3-;-1
9;D1;3;287;6;778;de RD14 à Cussey-sur-l'Ognon (LGV, INDICE 4) (BOUCLE);3.0;600;2015;5595;128;0.0228775692583;2724;2871;T3-;-1
12;D1A;0;0;1;67;de RD1 à RD14 (Geneuille) (LGV);0.0;50;2015;2531;173;0.0683524298696;1270;1261;T3+;-1
24;D5;;;;;;3.0;0;2013;1761;59;0.0335036910846;882;879;;-3
29;D5;;;;;;10.0;0;2012;1005;71;0.0706467661692;504;501;;-2
33;D6;;;;;;1.0;0;2011;698;50;0.0716332378223;346;352;;-2
35;D6;10;609;15;845;de RD41 à RD48 (Sombacour);15.0;0;2015;1095;113;0.103196347032;540;555;T3-;-1
40;D6;;;;;;18.0;0;2007;2152;99;0.0460037174721;1045;1107;;-3
41;D6;33;0;34;594;de RN57 (La Gauffre) aux Fourgs;33.0;0;2016;3388;81;0.0239079102715;1700;1688;T4;-1
43;D6;;;;;;33.0;0;2010;2992;185;0.0618315508021;1488;1504;;-3
45;D6;;;;;;41.0;0;2014;2273;20;0.0087989441267;1175;1098;;-2
46;D6;;;;;;41.0;0;2011;1824;31;0.0169956140351;922;902;;-3
50;D8;0;0;3;330;de RD70 (Pouilley-les-Vignes) à RD5;1.0;0;2014;5669;202;0.0356323866643;2854;2793;T3+;-1
52;D8;;;;;;1.0;0;2007;5124;255;0.0497658079625;2410;2714;;-3
55;D8;;;;;;5.0;0;2007;3033;154;0.0507748104187;1491;1542;;-3
62;D9;8;311;21;0;de RD101 (Epeugney) à RD32 (Amancey);16.0;0;2016;2415;131;0.0542443064182;1166;1249;T3-;-1
65;D9;21;0;29;432;de RD32 (Amancey) à RD15;22.0;0;2016;1648;85;0.0515776699029;826;822;T4;-1
73;D9;;;;;;41.0;0;2010;1022;91;0.0890410958904;517;505;;-3
75;D9;;;;;;50.0;0;2014;1616;117;0.072400990099;793;823;;-2
86;D10E;;;;;;1.0;0;2013;135;10;0.0740740740741;63;72;;-2
