geo_point_2d;geo_shape;lib_voie;motdir;no;commune;insee;nb_places;annee_creation;coord_x;coord_y
43.6533755879,1.44031800453;"{""type"": ""MultiPoint"", ""coordinates"": [[1.440318004534705, 43.653375587861426]]}";RUE VIRGINIA WOOLF;WOOLF (RUE VIRGINIA WOOLF);12;TOULOUSE;31555;2;2019;1.440318;43.653376
43.5798997844,1.44973779995;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449737799948797, 43.579899784432456]]}";AV DE L URSS;URSS (AV DE L URSS);66;TOULOUSE;31555;2;2019;1.449738;43.5799
43.604669675,1.4495466168;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449546616800938, 43.60466967502428]]}";BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;TOULOUSE;31555;2;2017;1.449547;43.60467
43.6149401464,1.4620832886;"{""type"": ""MultiPoint"", ""coordinates"": [[1.462083288601237, 43.61494014641073]]}";RUE DES REDOUTES;REDOUTES (RUE DES REDOUTES);4;TOULOUSE;31555;2;2011;1.462083;43.61494
43.5957558511,1.45508062035;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455080620350518, 43.59575585111693]]}";RUE DE TIVOLI;TIVOLI (RUE DE TIVOLI);12;TOULOUSE;31555;2;2010;1.455081;43.595756
43.5934129421,1.43384881635;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433848816354923, 43.59341294206162]]}";ALLEES CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);1;TOULOUSE;31555;2;2020;1.433954;43.593276
43.6310940934,1.43215036602;"{""type"": ""MultiPoint"", ""coordinates"": [[1.432150366018297, 43.631094093358946]]}";AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);75;TOULOUSE;31555;5;2018;1.43215;43.631094
43.6100739302,1.39757126044;"{""type"": ""MultiPoint"", ""coordinates"": [[1.397571260444852, 43.610073930177116]]}";AV DES ARENES ROMAINES;ROMAINES (AV DES ARENES ROMAINES);105;TOULOUSE;31555;2;2019;1.397571;43.610074
43.5745627581,1.46206361628;"{""type"": ""MultiPoint"", ""coordinates"": [[1.462063616279089, 43.574562758085605]]}";RUE EMILE GUYOU;GUYOU (RUE EMILE GUYOU);17;TOULOUSE;31555;2;2016;1.462064;43.574563
43.5929805152,1.41761015509;"{""type"": ""MultiPoint"", ""coordinates"": [[1.417610155093498, 43.59298051523665]]}";RUE DU ONZE NOVEMBRE 1918;NOVEMBRE 1918 (RUE DU ONZE NOVEMBRE 1918);6;TOULOUSE;31555;2;2011;1.41761;43.592981
43.5653414116,1.45933286565;"{""type"": ""MultiPoint"", ""coordinates"": [[1.459332865649514, 43.56534141157835]]}";RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);96;TOULOUSE;31555;2;2019;1.459333;43.565341
43.5994510175,1.46436311732;"{""type"": ""MultiPoint"", ""coordinates"": [[1.464363117321646, 43.59945101748514]]}";AV LOUIS BLERIOT;BLERIOT (AV LOUIS BLERIOT);2;TOULOUSE;31555;2;2019;1.464363;43.599451
43.6061768804,1.43873375751;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438733757512213, 43.60617688038751]]}";PL ANATOLE FRANCE;FRANCE (PL ANATOLE FRANCE);42;TOULOUSE;31555;2;2016;1.438734;43.606177
43.5994370474,1.37234987006;"{""type"": ""MultiPoint"", ""coordinates"": [[1.372349870063658, 43.59943704740646]]}";CHE DE TOURNEFEUILLE;TOURNEFEUILLE (CHE DE TOURNEFEUILLE);139;TOULOUSE;31555;2;2019;1.37235;43.599437
43.6231643625,1.47694193169;"{""type"": ""MultiPoint"", ""coordinates"": [[1.476941931690084, 43.62316436246963]]}";RUE DE GAILLAC;GAILLAC (RUE DE GAILLAC);14;TOULOUSE;31555;2;2019;1.476942;43.623164
43.5994759018,1.45470673265;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454706732649478, 43.59947590178684]]}";PL DOMINIQUE MARTIN DUPUY;DUPUY (PL DOMINIQUE MARTIN DUPUY);16;TOULOUSE;31555;2;2020;1.454707;43.599476
43.5960208224,1.42270857365;"{""type"": ""MultiPoint"", ""coordinates"": [[1.422708573652242, 43.596020822350724]]}";ALL MAURICE SARRAUT;SARRAUT (ALL MAURICE SARRAUT);2B;TOULOUSE;31555;2;2017;1.422709;43.596021
43.6207784421,1.43556084164;"{""type"": ""MultiPoint"", ""coordinates"": [[1.43556084164037, 43.62077844210444]]}";AV DES MINIMES;MINIMES (AV DES MINIMES);73;TOULOUSE;31555;1;2013;1.435561;43.620778
43.5737721918,1.47513185939;"{""type"": ""MultiPoint"", ""coordinates"": [[1.475131859387742, 43.57377219177532]]}";RUE JACQUELINE AURIOL;AURIOL (RUE JACQUELINE AURIOL);1;TOULOUSE;31555;2;2019;1.475132;43.573772
43.6098381803,1.45591174109;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455911741088713, 43.609838180261605]]}";BD DE MARENGO;MARENGO (BD DE MARENGO);7;TOULOUSE;31555;2;2020;1.455912;43.609838
43.5973563791,1.43138665595;"{""type"": ""MultiPoint"", ""coordinates"": [[1.43138665594639, 43.59735637905012]]}";ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);52;TOULOUSE;31555;2;2009;1.431387;43.597356
43.5972380402,1.44455644776;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444556447756578, 43.59723804018965]]}";PL DES CARMES;CARMES (PL DES CARMES);42;TOULOUSE;31555;2;2016;1.444556;43.597238
43.6018674001,1.45217341296;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452173412960977, 43.60186740010708]]}";BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);12;TOULOUSE;31555;2;2016;1.452173;43.601867
43.5875844867,1.45979557504;"{""type"": ""MultiPoint"", ""coordinates"": [[1.459795575040401, 43.58758448666014]]}";AV CRAMPEL;CRAMPEL (AV CRAMPEL);13;TOULOUSE;31555;2;2013;1.459796;43.587584
43.6139875193,1.4519493564;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451949356401178, 43.613987519312715]]}";AV DE LYON;LYON (AV DE LYON);12;TOULOUSE;31555;2;2019;1.451949;43.613988
43.6109557425,1.43723950911;"{""type"": ""MultiPoint"", ""coordinates"": [[1.437239509105161, 43.610955742540874]]}";BD LASCROSSES;LASCROSSES (BD LASCROSSES);13;TOULOUSE;31555;3;2010;1.43724;43.610956
43.6086317939,1.42973955951;"{""type"": ""MultiPoint"", ""coordinates"": [[1.429739559512949, 43.60863179386556]]}";BD LASCROSSES;LASCROSSES (BD LASCROSSES);67;TOULOUSE;31555;2;2016;1.42974;43.608632
43.6140974141,1.43128267467;"{""type"": ""MultiPoint"", ""coordinates"": [[1.431282674669258, 43.614097414076745]]}";AV EMILE DEWOITINE;DEWOITINE  (AV EMILE DEWOITINE);13;TOULOUSE;31555;2;2013;1.431283;43.614097
43.5828743463,1.44859839208;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448598392076003, 43.58287434630632]]}";AV DE L URSS;URSS (AV DE L URSS);16;TOULOUSE;31555;2;2010;1.448598;43.582874
43.5849295139,1.42792003897;"{""type"": ""MultiPoint"", ""coordinates"": [[1.427920038974851, 43.58492951393497]]}";PL DE LA CROIX DE PIERRE;PIERRE (PL DE LA CROIX DE PIERRE);22;TOULOUSE;31555;2;2020;1.427801;43.584967
43.6090352246,1.44735984825;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447359848245894, 43.60903522456244]]}";RUE RAYMOND IV;RAYMOND IV (RUE RAYMOND IV);3;TOULOUSE;31555;2;2009;1.44736;43.609035
